CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,110,46,10.88700008,33.6570015,25.75090027,0.095653027,5.366000175,MON
2103,110,48,10.83839989,33.65840149,25.76059914,0.087354898,5.284999847,MON
2103,110,50,10.65699959,33.64649963,25.7833004,0.041086491,5.074999809,MON
2103,110,52,10.49699974,33.6385994,25.80509949,0.044724211,4.962999821,MON
2103,110,54,10.44960022,33.64279938,25.8166008,0.01035523,4.931000233,MON
2103,110,56,10.41650009,33.64920044,25.82729912,0,4.897999763,MON
2103,110,58,10.38290024,33.65499878,25.83769989,0,4.899000168,MON
2103,110,60,10.31830025,33.67660141,25.86569977,0,4.81400013,MON
2103,110,62,10.25879955,33.6894989,25.88599968,0,4.679999828,MON
2103,110,64,10.21469975,33.70479965,25.90550041,0,4.568999767,MON
2103,110,66,10.20670033,33.71030045,25.91119957,0,4.538000107,MON
2103,110,68,10.20530033,33.71160126,25.91239929,0,4.537000179,MON
2103,110,70,10.20119953,33.71360016,25.91469955,0,4.501999855,MON
2103,110,72,10.16359997,33.72809982,25.93250084,0,4.298999786,MON
2103,110,74,10.0909996,33.75059891,25.96240044,0,4.022999763,MON
2103,110,76,10.007699969999999,33.76879883,25.99069977,0,3.750999928,MON
2103,110,78,9.935400009,33.78630066,26.01659966,0,3.6050000190000002,MON
2103,110,80,9.819199562,33.78939819,26.03849983,0,3.428999901,MON
2103,110,82,9.577199936,33.78379822,26.07419968,0,3.289000034,MON
2103,110,84,9.318799973,33.77349854,26.10829926,0,3.236000061,MON
2103,110,86,9.321000099,33.79259872,26.12290001,0,3.187999964,MON
2103,110,88,9.318900108,33.80590057,26.13360023,0,3.08100009,MON
2103,110,90,9.345399857,33.83909988,26.15539932,0,2.881999969,MON
2103,110,92,9.336400032,33.85720062,26.17099953,0,2.801000118,MON
2103,110,94,9.316300392,33.86520004,26.18050003,0,2.765000105,MON
2103,110,96,9.307600021,33.86930084,26.18519974,0,2.7300000190000002,MON
2103,110,98,9.300299644,33.87739944,26.19269943,0,2.667000055,MON
2103,110,100,9.294599533,33.89139938,26.20459938,0,2.602999926,MON
2103,110,102,9.26720047,33.90530014,26.21999931,0,2.503999949,MON
2103,110,104,9.244400024,33.92070007,26.23579979,0,2.427999973,MON
2103,110,106,9.232600212,33.93349838,26.24769974,0,2.392999887,MON
2103,110,108,9.228099823,33.93769836,26.25169945,0,2.381000042,MON
2103,110,110,9.222299576,33.94200134,26.2560997,0,2.358999968,MON
2103,110,112,9.211999893,33.9477005,26.2621994,0,2.329999924,MON
2103,110,114,9.196000099,33.9557991,26.27109909,0,2.303999901,MON
2103,463,4,11.05160046,33.18310165,25.35180092,0.489184022,6.18200016,NAV
2103,463,6,11.04599953,33.18320084,25.35289955,0.516047001,6.159999847,NAV
2103,463,8,11.02079964,33.18709946,25.36050034,0.545771539,6.144999981,NAV
2103,463,10,10.94309998,33.20100021,25.38509941,0.649568915,6.144999981,NAV
2103,463,12,10.84720039,33.22190094,25.41839981,0.735432506,6.1300001140000004,NAV
2103,463,14,10.72850037,33.25180054,25.46249962,0.923867166,6.1199998859999996,NAV
2103,463,16,10.5656004,33.29439926,25.52409935,1.198521018,6.056000233,NAV
2103,463,18,10.35389996,33.36660004,25.61700058,1.53577733,6.058000088,NAV
2103,463,20,10.30000019,33.39509964,25.64850044,2.108665228,6.017000198,NAV
2103,463,22,10.22070026,33.43360138,25.69210052,2.483486414,6.117000103,NAV
2103,463,24,10.19960022,33.48300171,25.73419952,3.17284584,6.129000187,NAV
2103,463,26,10.11270046,33.49029922,25.75469971,3.285370111,6.105000019,NAV
2103,463,28,10.06760025,33.49689865,25.76749992,4.171448708,6.098999977,NAV
2103,463,30,10.05140018,33.51179886,25.78190041,3.865926027,6.087999821,NAV
2103,463,32,10.08170033,33.55379868,25.80960083,4.126621246,5.842000008,NAV
2103,463,34,9.895299911,33.54809952,25.83650017,3.180258751,5.372000217,NAV
2103,463,36,9.476599693,33.48939896,25.85960007,2.213748932,4.675000191,NAV
2103,463,38,9.31499958,33.47589874,25.87520027,0.112674899,4.518000126,NAV
2103,463,40,9.342100143,33.51010132,25.89769936,0,4.589000225,NAV
2103,463,42,9.363100052,33.54980087,25.92539978,0,4.6199998859999996,NAV
2103,463,44,9.329400063,33.58110046,25.95529938,0,4.501999855,NAV
2103,463,46,9.29279995,33.59339905,25.97089958,0,4.401000023,NAV
2103,463,48,9.26309967,33.59999847,25.98089981,0,4.256999969,NAV
2103,463,50,9.242500305,33.61470032,25.99570084,0,4.368999958,NAV
2103,463,52,9.260000229,33.62820053,26.00349998,0,4.433000088,NAV
2103,463,54,9.19659996,33.63959885,26.02260017,0,4.19299984,NAV
2103,463,56,9.137000084,33.65520096,26.04439926,0,4.078999996,NAV
2103,463,58,9.098600388,33.66230011,26.05599976,0,3.967999935,NAV
2103,463,60,9.043899536,33.66680145,26.06830025,0,3.78399992,NAV
2103,463,62,8.936599731,33.68870163,26.10239983,0,3.548000097,NAV
2103,463,64,8.918299675,33.71720123,26.12759972,0,3.6849999429999998,NAV
2103,463,66,9.081600189,33.7655983,26.13969994,0.337444782,4.300000191,NAV
2103,463,68,9.23789978,33.83409882,26.16839981,1.638673902,4.72300005,NAV
2103,463,70,9.139399529,33.84019852,26.18899918,1.113324404,4.520999908,NAV
2103,463,72,9.105400085,33.8504982,26.20249939,0.821968973,4.4949998859999996,NAV
2103,463,74,9.137499809,33.86500168,26.20879936,1.03822422,4.587999821,NAV
2103,463,76,9.155200005,33.88169861,26.21899986,0.874720573,4.65199995,NAV
2103,463,78,9.163900375,33.89659882,26.22929955,0.505715191,4.662000179,NAV
2103,463,80,9.154899597,33.89609909,26.23049927,0.422654629,4.611000061,NAV
2103,463,82,9.100799561,33.89009857,26.2343998,0.389362484,4.423999786,NAV
2103,463,84,9.065799713,33.89009857,26.23999977,0.192591816,4.422999859,NAV
2103,463,86,9.106900215,33.9056015,26.24570084,0.346719563,4.515999794,NAV
2103,463,88,9.113400459,33.9131012,26.25049973,0.292266905,4.504000187,NAV
2103,463,90,9.085100174,33.92620087,26.26530075,0.154577479,4.320000172,NAV
2103,463,92,9.055999756,33.9367981,26.27829933,0,4.106999874,NAV
2103,463,94,9.001199722,33.93700027,26.28709984,0.146913081,3.982000113,NAV
